customer_id,age,income,spending_score,visits_per_month
CUST1128,65,20408,63,6
CUST1129,40,74379,6,12
CUST1130,41,40053,32,2
CUST1131,54,146994,93,3
CUST1132,52,113723,43,3
CUST1133,61,66356,2,12
CUST1134,57,25789,60,15
CUST1135,39,112720,23,9
CUST1136,44,81656,83,8
CUST1137,52,59028,31,11
CUST1138,18,79484,5,16
CUST1139,52,47154,83,4
CUST1140,54,17336,34,1
CUST1141,64,118677,10,7
CUST1142,31,82779,89,2
CUST1143,20,34029,2,5
CUST1144,18,74201,11,7
CUST1145,22,47265,50,4
CUST1146,43,117916,31,5
CUST1147,31,61197,56,1
CUST1148,56,140733,79,1
CUST1149,44,86907,73,15
CUST1150,26,143876,87,19
CUST1151,32,79435,83,10
CUST1152,32,55631,9,18
CUST1153,43,144038,99,3
CUST1154,59,35103,21,11
CUST1155,30,79772,73,15
CUST1156,68,141108,28,11
CUST1157,49,29382,62,17
CUST1158,56,99291,7,17
CUST1159,66,116195,80,6
CUST1160,69,149828,16,5
CUST1161,49,35609,97,8
CUST1162,21,90683,4,2
CUST1163,47,139714,4,16
CUST1164,54,145330,40,12
CUST1165,40,86315,17,6
CUST1166,56,92834,52,1
CUST1167,62,141205,93,4
CUST1168,32,29153,52,17
CUST1169,60,91325,36,13
CUST1170,46,70318,38,18
CUST1171,53,146886,50,5
CUST1172,30,130033,63,3
CUST1173,49,91077,63,11
CUST1174,24,105474,62,13
CUST1175,68,148515,99,4
CUST1176,39,88319,7,14
CUST1177,45,140885,27,11
CUST1178,19,124777,92,10
CUST1179,59,32368,86,19
CUST1180,62,106751,14,18
CUST1181,23,42306,71,6
CUST1182,45,52219,86,15
CUST1183,45,75279,5,10
CUST1184,61,68028,55,5
CUST1185,61,119263,2,5
CUST1186,37,15126,62,10
CUST1187,47,67329,91,5
CUST1188,28,42632,21,3
CUST1189,45,124945,79,6
CUST1190,42,70176,21,4
CUST1191,56,149869,10,18
CUST1192,50,49560,87,9
CUST1193,18,91589,58,17
CUST1194,44,37116,39,13
CUST1195,69,147717,5,15
CUST1196,30,139085,65,17
CUST1197,58,132718,13,13
CUST1198,20,34256,85,16
CUST1199,56,115158,90,4
CUST1200,23,134719,85,5
CUST1201,25,83244,53,5
CUST1202,44,71264,82,9
CUST1203,26,72545,45,17
CUST1204,54,54224,32,13
CUST1205,50,112945,36,2
CUST1206,68,28224,81,13
CUST1207,59,55738,99,19
CUST1208,61,78731,60,3
CUST1209,41,23070,11,10
CUST1210,32,141161,63,2
CUST1211,49,23666,21,13
CUST1212,49,72761,52,19
CUST1213,41,51368,55,17
CUST1214,58,56914,26,14
CUST1215,69,142738,68,12
CUST1216,66,82526,34,12
CUST1217,66,34956,52,11
CUST1218,69,61240,82,7
CUST1219,29,136008,99,4
CUST1220,56,109270,93,19
CUST1221,19,19757,52,1
CUST1222,20,34097,29,3
CUST1223,66,118892,38,13
CUST1224,54,85480,42,15
CUST1225,66,61163,21,2
CUST1226,34,34816,42,11
CUST1227,66,67853,13,4
CUST1228,19,111731,64,19
CUST1229,19,77823,17,17
CUST1230,45,16759,9,3
CUST1231,40,107374,41,18
CUST1232,54,148554,1,8
CUST1233,49,39442,2,19
CUST1234,50,108501,60,5
CUST1235,18,17079,48,7
CUST1236,36,148789,29,8
CUST1237,19,74676,97,5
CUST1238,61,105397,10,17
CUST1239,43,87847,58,5
CUST1240,49,108607,60,4
CUST1241,23,79077,21,19
CUST1242,49,53258,28,2
CUST1243,21,134771,75,11
CUST1244,28,53000,34,13
CUST1245,34,41737,8,15
CUST1246,55,26485,59,12
CUST1247,41,53565,86,11
CUST1248,22,134614,72,7
CUST1249,69,80155,49,5
CUST1250,51,67487,79,17
CUST1251,23,144948,17,9
CUST1252,39,27342,60,14
CUST1253,28,55806,87,12
CUST1254,65,63770,88,6
CUST1255,33,93623,45,17
CUST1256,50,118177,83,19
CUST1257,26,146026,69,19
CUST1258,23,90629,32,16
CUST1259,33,135993,44,12
CUST1260,46,141944,65,12
CUST1261,20,120947,87,6
CUST1262,37,41399,8,4
CUST1263,53,143177,77,6
CUST1264,36,124575,72,11
CUST1265,43,125904,87,1
CUST1266,20,45678,43,15
CUST1267,36,91218,1,11
CUST1268,37,78230,51,19
CUST1269,49,89055,24,18
CUST1270,24,87258,99,17
CUST1271,69,54986,24,19
CUST1272,58,100595,17,14
CUST1273,50,116358,5,18
CUST1274,57,79929,20,19
CUST1275,56,88506,21,15
CUST1276,35,49911,58,15
CUST1277,57,102127,31,4
CUST1278,18,128453,11,7
CUST1279,28,99458,52,13
CUST1280,45,27175,15,3
CUST1281,42,134235,83,16
CUST1282,67,69771,7,9
CUST1283,40,142157,28,8
CUST1284,48,136300,51,13
CUST1285,47,101925,58,17
CUST1286,59,81358,5,17
CUST1287,52,62057,5,17
CUST1288,24,21150,94,1
CUST1289,33,19425,96,8
CUST1290,43,31032,8,19
CUST1291,65,17198,64,6
CUST1292,69,133865,10,3
CUST1293,66,38236,38,5
CUST1294,19,102955,96,13
CUST1295,18,118145,92,15
CUST1296,65,109914,81,14
CUST1297,29,117870,95,16
CUST1298,22,131243,8,18
CUST1299,54,29596,25,11
CUST1300,49,147351,73,3
CUST1301,26,126496,66,10
CUST1302,58,145273,79,10
CUST1303,52,135674,50,16
CUST1304,36,135307,67,12
CUST1305,65,34063,49,2
CUST1306,33,82642,36,9
CUST1307,20,105093,68,3
CUST1308,37,50954,78,15
CUST1309,41,42856,41,3
CUST1310,50,17573,89,19
CUST1311,41,50367,62,18
CUST1312,69,114608,10,8
CUST1313,28,75774,21,17
CUST1314,66,38752,36,8
CUST1315,25,70029,12,7
CUST1316,53,145282,91,7
CUST1317,55,66693,2,3
CUST1318,57,131739,13,1
CUST1319,37,70961,53,4
CUST1320,52,141678,32,5
CUST1321,65,89532,95,1
CUST1322,42,96994,16,15
CUST1323,52,71133,32,5
CUST1324,42,76268,32,13
CUST1325,46,46653,98,8
CUST1326,35,136829,11,8
CUST1327,63,143377,10,5
CUST1328,35,16622,15,9
CUST1329,19,63756,17,1
CUST1330,52,55809,40,4
CUST1331,33,31725,18,3
CUST1332,58,66226,55,2
CUST1333,53,96182,73,8
CUST1334,50,44402,25,9
CUST1335,21,19263,59,2
CUST1336,50,62924,78,14
CUST1337,31,89182,89,14
CUST1338,38,50737,22,4
CUST1339,65,116332,30,6
CUST1340,37,104563,84,11
CUST1341,25,143575,85,3
CUST1342,24,116371,44,8
CUST1343,20,53709,32,3
CUST1344,34,36172,51,14
CUST1345,50,26555,46,13
CUST1346,65,68276,21,13
CUST1347,29,72492,99,2
CUST1348,68,104599,32,13
CUST1349,39,26046,94,19
CUST1350,39,131021,39,6
CUST1351,63,19853,12,16
CUST1352,47,135900,47,2
CUST1353,55,74129,18,8
CUST1354,55,129130,21,17
CUST1355,62,136789,13,2
CUST1356,68,53890,21,10
CUST1357,25,81017,8,16
CUST1358,44,147596,46,6
CUST1359,44,115424,7,2
CUST1360,51,30048,23,2
CUST1361,38,69912,96,13
CUST1362,47,49008,75,15
CUST1363,50,146132,86,2
CUST1364,45,98559,22,7
CUST1365,64,70337,89,3
CUST1366,50,125616,22,8
CUST1367,22,28350,92,14
CUST1368,65,39354,29,7
CUST1369,36,60186,13,7
CUST1370,21,43145,82,1
CUST1371,52,101123,2,17
CUST1372,66,35581,29,9
CUST1373,34,103929,85,13
CUST1374,61,38051,79,19
CUST1375,45,66474,52,19
CUST1376,47,106748,27,17
CUST1377,46,140995,50,10
CUST1378,63,84626,95,10
CUST1379,23,21960,79,4
CUST1380,52,51408,23,8
CUST1381,58,109006,88,18
CUST1382,54,72134,44,14
CUST1383,41,147413,77,18
CUST1384,46,105327,22,14
CUST1385,66,146410,43,15
CUST1386,63,26344,37,4
CUST1387,48,147822,61,13
CUST1388,52,82957,97,8
CUST1389,50,120423,56,18
CUST1390,69,73053,3,12
CUST1391,38,92454,63,14
CUST1392,49,105600,19,2
CUST1393,40,137732,23,18
CUST1394,50,52641,29,2
CUST1395,20,44711,30,11
CUST1396,35,85342,39,9
CUST1397,42,121896,25,12
CUST1398,59,102833,8,17
CUST1399,48,71276,58,15
CUST1400,20,34541,16,17
CUST1401,57,109457,72,18
CUST1402,63,59813,1,6
CUST1403,41,39070,5,17
CUST1404,67,95559,3,18
CUST1405,49,56786,65,8
CUST1406,64,51062,4,9
CUST1407,39,66571,99,6
CUST1408,40,40510,96,5
CUST1409,19,34426,64,12
CUST1410,44,52265,98,11
CUST1411,59,81150,89,1
CUST1412,19,102312,10,11
CUST1413,43,104613,21,19
CUST1414,34,89910,46,9
CUST1415,57,67375,91,2
CUST1416,50,136826,27,12
CUST1417,26,50435,66,4
CUST1418,60,111443,41,4
CUST1419,65,149055,13,18
CUST1420,56,38510,9,15
CUST1421,46,109071,36,19
CUST1422,59,21640,86,13
CUST1423,43,59547,90,19
CUST1424,52,69620,58,17
CUST1425,67,130608,54,6
CUST1426,42,22564,12,16
CUST1427,41,128824,81,12
CUST1428,30,94273,78,19
CUST1429,24,89859,14,5
CUST1430,53,125017,34,17
CUST1431,62,138618,53,1
CUST1432,37,140341,20,10
CUST1433,18,44430,75,15
CUST1434,25,42788,16,11
CUST1435,63,84346,95,13
CUST1436,33,111122,70,5
CUST1437,31,54974,56,1
CUST1438,29,122309,83,12
CUST1439,68,31371,58,11
CUST1440,40,60084,4,17
CUST1441,32,76916,4,4
CUST1442,45,88972,20,15
CUST1443,51,27984,10,9
CUST1444,19,48039,24,19
CUST1445,49,100431,99,19
CUST1446,40,98691,26,12
CUST1447,39,73606,37,5
CUST1448,68,117665,85,10
CUST1449,42,120373,54,17
CUST1450,39,39574,21,5
CUST1451,39,149502,74,16
CUST1452,66,47733,38,7
CUST1453,69,17050,46,9
CUST1454,59,124996,4,3
CUST1455,23,48933,60,15
CUST1456,32,39951,57,16
CUST1457,60,47413,45,18
CUST1458,54,127573,20,14
CUST1459,50,137744,17,3
CUST1460,25,104431,71,12
CUST1461,61,58001,4,9
CUST1462,61,82364,93,7
CUST1463,22,139988,14,9
CUST1464,56,60028,3,13
CUST1465,21,146878,88,18
CUST1466,23,139343,80,5
CUST1467,62,143301,58,13
CUST1468,49,141295,55,4
CUST1469,69,49636,4,2
CUST1470,47,39262,24,16
CUST1471,64,95435,34,9
CUST1472,52,143583,30,9
CUST1473,57,56844,82,6
CUST1474,69,79754,19,11
CUST1475,33,92129,31,1
CUST1476,30,55042,60,4
CUST1477,67,76665,60,13
CUST1478,59,131953,19,13
CUST1479,47,133533,49,13
CUST1480,36,88781,63,2
CUST1481,34,81262,83,9
CUST1482,36,61600,22,8
CUST1483,45,91898,24,7
CUST1484,43,45448,76,4
CUST1485,54,41172,30,18
CUST1486,43,22657,58,3
CUST1487,40,127855,31,6
CUST1488,26,22906,64,12
CUST1489,29,76413,19,12
CUST1490,18,69028,48,8
CUST1491,18,22287,45,1
CUST1492,64,48660,94,4
CUST1493,51,75504,55,11
CUST1494,49,117979,55,3
CUST1495,65,49701,97,13
CUST1496,42,98300,18,17
CUST1497,57,98560,63,10
CUST1498,62,58642,92,12
CUST1499,18,80160,47,15
CUST1500,33,32602,75,10
CUST1501,56,118320,57,14
CUST1502,22,103801,45,13
CUST1503,39,40931,33,5
CUST1504,46,109377,17,6
CUST1505,20,44192,70,2
CUST1506,29,61542,4,17
CUST1507,43,142015,20,4
CUST1508,33,57520,47,14
CUST1509,68,79772,91,10
CUST1510,54,65106,15,3
CUST1511,39,96121,70,3
CUST1512,46,40559,47,15
CUST1513,31,120595,78,6
CUST1514,45,48742,75,17
CUST1515,22,84669,9,12
CUST1516,64,85831,90,11
CUST1517,66,127217,16,4
CUST1518,47,56873,69,6
CUST1519,63,121532,61,1
CUST1520,69,141267,10,16
CUST1521,22,149092,50,15
CUST1522,29,56755,3,17
CUST1523,33,100956,77,8
CUST1524,43,101988,94,12
CUST1525,43,60648,70,10
CUST1526,65,140991,81,15
CUST1527,38,130005,51,9
CUST1528,56,17396,19,2
CUST1529,53,99082,42,5
CUST1530,50,143322,35,6
CUST1531,47,147663,46,7
CUST1532,54,26303,26,1
CUST1533,40,86719,69,7
CUST1534,27,114616,93,12
CUST1535,22,139165,64,16
CUST1536,53,101231,37,16
CUST1537,51,22314,84,11
CUST1538,69,34623,49,4
CUST1539,48,120228,21,13
CUST1540,27,112624,74,7
CUST1541,36,126785,64,4
CUST1542,49,101206,5,15
CUST1543,18,84274,70,19
CUST1544,22,148541,90,9
CUST1545,62,68947,4,11
CUST1546,21,63874,39,8
CUST1547,33,64708,35,1
CUST1548,41,89553,1,8
CUST1549,33,83344,24,13
CUST1550,19,64138,57,4
CUST1551,66,62638,70,8
CUST1552,45,93249,41,3
CUST1553,49,120865,54,9
CUST1554,44,17719,46,2
CUST1555,37,57534,60,2
CUST1556,41,107241,60,13
CUST1557,29,141209,57,15
CUST1558,67,107124,31,12
CUST1559,52,106659,84,4
CUST1560,50,90713,24,8
CUST1561,50,90418,89,9
CUST1562,68,143232,36,5
CUST1563,60,46575,85,18
CUST1564,54,78852,30,11
CUST1565,29,147079,24,15
CUST1566,20,91242,30,9
CUST1567,18,44257,86,17
CUST1568,50,76246,92,12
CUST1569,57,16435,7,7
CUST1570,27,106357,35,10
CUST1571,60,98807,55,10
CUST1572,61,130953,92,13
CUST1573,46,138797,14,19
CUST1574,30,78888,10,11
CUST1575,29,88609,80,13
CUST1576,48,24077,16,8
CUST1577,63,35953,54,8
CUST1578,19,129682,95,4
CUST1579,68,82889,89,15
CUST1580,67,130374,77,11
CUST1581,52,39860,70,11
CUST1582,40,92475,44,1
CUST1583,34,102266,73,17
CUST1584,43,115732,45,15
CUST1585,25,42083,56,6
CUST1586,46,72372,84,15
CUST1587,43,138786,82,9
CUST1588,27,22813,57,14
CUST1589,43,46598,21,18
CUST1590,51,108106,68,17
CUST1591,68,42082,50,18
CUST1592,58,44241,33,5
CUST1593,24,26745,91,9
CUST1594,21,41029,7,11
CUST1595,67,138395,70,1
CUST1596,62,104186,15,18
CUST1597,28,112768,82,6
CUST1598,46,56846,32,2
CUST1599,53,90932,75,15
CUST1600,42,38411,20,14
CUST1601,38,93797,88,5
CUST1602,53,67307,15,6
CUST1603,27,149165,48,6
CUST1604,54,37042,71,18
CUST1605,26,67930,21,14
CUST1606,41,112883,42,10
CUST1607,52,48756,26,14
CUST1608,66,68268,14,13
CUST1609,52,63901,57,3
CUST1610,65,114986,37,6
CUST1611,53,143386,58,8
CUST1612,35,20626,21,12
CUST1613,66,27857,82,13
CUST1614,56,148052,69,11
CUST1615,49,41431,3,12
CUST1616,41,99976,87,1
CUST1617,40,97711,90,17
CUST1618,49,41385,37,16
CUST1619,54,33639,88,11
CUST1620,29,100530,49,13
CUST1621,66,36563,19,18
CUST1622,30,130672,89,11
CUST1623,40,97970,85,12
CUST1624,42,100553,12,6
CUST1625,52,97879,61,9
CUST1626,58,59859,41,16
CUST1627,47,67098,33,4
CUST1628,34,137413,50,3
CUST1629,66,15526,68,16
CUST1630,37,83760,71,12
CUST1631,65,62837,86,11
CUST1632,42,26536,33,5
CUST1633,39,43541,81,18
CUST1634,30,94083,24,19
CUST1635,36,49531,61,6
CUST1636,66,23712,61,18
CUST1637,53,119101,98,6
CUST1638,29,80455,28,4
CUST1639,58,89744,58,12
CUST1640,36,144749,43,19
CUST1641,29,20109,41,2
CUST1642,26,64268,39,17
CUST1643,24,69615,86,11
CUST1644,45,97503,49,11
CUST1645,31,100708,17,16
CUST1646,48,117471,98,2
CUST1647,69,98309,70,2
CUST1648,36,141446,70,8
CUST1649,64,121661,98,13
CUST1650,33,21154,65,10
CUST1651,22,79288,74,8
CUST1652,52,66195,85,4
CUST1653,29,35581,5,15
CUST1654,42,45087,2,1
CUST1655,69,84298,22,11
CUST1656,38,61167,57,7
CUST1657,53,54499,66,17
CUST1658,40,140816,74,18
CUST1659,33,111347,98,12
CUST1660,56,63787,16,9
CUST1661,62,50488,51,5
CUST1662,59,89441,39,10
CUST1663,56,37431,86,4
CUST1664,31,76681,76,5
CUST1665,48,137720,88,10
CUST1666,22,64153,40,11
CUST1667,52,21368,38,10
CUST1668,40,127360,60,8
CUST1669,46,127755,59,2
CUST1670,60,71985,10,8
CUST1671,28,65069,99,16
CUST1672,35,67326,64,5
CUST1673,64,123737,63,3
CUST1674,29,65861,49,12
CUST1675,26,90897,64,13
CUST1676,27,142118,32,13
CUST1677,61,83577,7,10
CUST1678,34,24078,21,4
CUST1679,55,77768,20,9
CUST1680,24,66047,26,2
CUST1681,63,86626,68,19
CUST1682,30,72660,86,1
CUST1683,57,147997,15,7
CUST1684,59,132832,85,17
CUST1685,26,145406,79,3
CUST1686,67,140150,86,3
CUST1687,44,48320,92,3
CUST1688,19,79881,14,17
CUST1689,22,105827,27,7
CUST1690,46,117215,40,14
CUST1691,54,149461,58,17
CUST1692,55,76550,28,18
CUST1693,36,39826,26,13
CUST1694,25,115734,63,18
CUST1695,65,113511,66,4
CUST1696,62,26653,25,1
CUST1697,18,96941,3,18
CUST1698,39,48662,72,1
CUST1699,69,113818,44,13
CUST1700,34,110081,97,10
CUST1701,24,51877,42,11
CUST1702,42,126562,99,9
CUST1703,62,87715,6,9
CUST1704,21,125091,39,5
CUST1705,53,147632,52,1
CUST1706,23,94148,23,17
CUST1707,48,98186,89,2
CUST1708,36,138629,50,13
CUST1709,61,85316,43,9
CUST1710,56,43380,19,4
CUST1711,44,125198,69,5
CUST1712,27,17356,51,11
CUST1713,43,85326,11,19
CUST1714,36,107447,12,3
CUST1715,56,129994,74,12
CUST1716,20,35049,8,19
CUST1717,62,120361,24,19
CUST1718,30,31082,92,13
CUST1719,67,15661,41,7
CUST1720,45,17920,36,15
CUST1721,37,94561,85,7
CUST1722,45,23946,72,8
CUST1723,25,31309,55,5
CUST1724,58,70230,9,14
CUST1725,56,126822,47,4
CUST1726,18,127340,15,10
CUST1727,20,74321,48,15
CUST1728,30,147028,82,18
CUST1729,45,89131,42,13
CUST1730,66,40963,60,8
CUST1731,42,116757,84,9
CUST1732,50,114259,70,16
CUST1733,55,54063,12,19
CUST1734,23,129225,2,16
CUST1735,61,131400,7,7
CUST1736,62,95818,80,14
CUST1737,49,19703,3,14
CUST1738,62,87099,3,4
CUST1739,64,46585,27,15
CUST1740,38,58585,40,3
CUST1741,33,41958,33,5
CUST1742,38,41017,92,1
CUST1743,28,139677,1,3
CUST1744,54,44426,8,15
CUST1745,53,32778,32,8
CUST1746,52,57229,48,4
CUST1747,36,101652,4,2
CUST1748,37,143267,94,10
CUST1749,35,141503,70,4
CUST1750,64,99878,19,3
CUST1751,58,72056,32,2
CUST1752,66,34975,9,17
CUST1753,31,103397,12,13
CUST1754,32,48142,11,5
CUST1755,48,41916,46,9
CUST1756,18,79324,16,6
CUST1757,20,140932,1,5
CUST1758,33,111059,63,10
CUST1759,40,113317,21,8
CUST1760,28,50046,30,7
CUST1761,29,116459,13,7
CUST1762,27,60893,34,6
CUST1763,49,116520,4,3
CUST1764,33,140818,28,19
CUST1765,25,76272,95,15
CUST1766,55,82649,59,4
CUST1767,29,79674,27,12
CUST1768,41,101475,69,6
CUST1769,45,76367,25,19
CUST1770,25,136750,3,4
CUST1771,45,133154,97,15
CUST1772,53,59738,68,9
CUST1773,43,48397,25,5
CUST1774,25,97189,20,13
CUST1775,67,91367,34,18
CUST1776,45,135585,26,5
CUST1777,45,91619,5,16
CUST1778,54,126453,99,19
CUST1779,58,34816,61,14
CUST1780,53,94530,92,16
CUST1781,44,123856,93,15
CUST1782,34,86635,9,4
CUST1783,26,122803,50,7
CUST1784,50,50946,6,16
CUST1785,37,70204,83,8
CUST1786,30,30563,60,17
CUST1787,45,107324,44,16
CUST1788,65,24847,11,10
CUST1789,46,41155,66,10
CUST1790,30,94671,47,2
CUST1791,63,131891,73,9
CUST1792,52,98310,85,17
CUST1793,23,146691,88,11
CUST1794,35,49707,98,10
CUST1795,68,96537,86,17
CUST1796,22,106155,3,4
CUST1797,64,15281,76,16
CUST1798,42,147130,92,15
CUST1799,19,91260,30,5
CUST1800,27,79178,90,6
CUST1801,47,48997,21,17
CUST1802,67,134273,28,1
CUST1803,62,147311,90,19
CUST1804,22,141945,62,4
CUST1805,50,60272,33,17
CUST1806,18,104393,85,9
CUST1807,35,76212,35,2
CUST1808,49,135030,52,8
CUST1809,64,71503,34,15
CUST1810,66,21570,41,7
CUST1811,28,83785,51,6
CUST1812,38,24110,47,1
CUST1813,43,94141,82,15
CUST1814,42,27115,58,7
CUST1815,39,54062,75,17
CUST1816,44,37911,57,2
CUST1817,66,119061,23,9
CUST1818,30,47556,48,9
CUST1819,50,143335,22,13
CUST1820,51,16969,17,6
CUST1821,58,58753,69,6
CUST1822,52,136863,11,3
CUST1823,18,25225,94,17
CUST1824,38,138008,15,17
CUST1825,65,120823,91,12
CUST1826,23,28669,35,16
CUST1827,45,139398,33,15
CUST1828,34,125677,84,13
CUST1829,22,63320,16,1
CUST1830,48,140354,34,17
CUST1831,22,103009,66,3
CUST1832,55,43625,99,15
CUST1833,20,39089,40,4
CUST1834,40,51487,28,4
CUST1835,54,125448,47,18
CUST1836,54,65138,39,17
CUST1837,27,69061,70,19
CUST1838,27,116376,73,11
CUST1839,36,94134,20,3
CUST1840,34,62055,1,8
CUST1841,38,34508,72,14
CUST1842,31,125169,87,1
CUST1843,26,23125,63,14
CUST1844,63,51059,67,2
CUST1845,18,118409,4,4
CUST1846,68,20704,58,19
CUST1847,62,126279,25,6
CUST1848,30,133516,47,1
CUST1849,21,129044,38,17
CUST1850,18,44165,15,8
CUST1851,66,82203,63,19
CUST1852,57,19114,21,1
CUST1853,49,51321,99,5
CUST1854,51,88297,57,16
CUST1855,45,111652,53,6
CUST1856,48,114304,46,8
CUST1857,25,32772,14,13
CUST1858,56,118754,76,16
CUST1859,43,18712,17,3
CUST1860,51,147439,39,19
CUST1861,20,130142,9,12
CUST1862,67,106736,99,16
CUST1863,29,66924,77,11
CUST1864,18,18726,79,10
CUST1865,61,104152,82,4
CUST1866,22,42723,97,12
CUST1867,47,141969,6,2
CUST1868,47,115494,91,19
CUST1869,34,50643,23,5
CUST1870,65,118896,59,8
CUST1871,64,108680,91,7
CUST1872,40,111546,98,14
CUST1873,32,94973,46,3
CUST1874,54,78449,38,18
CUST1875,38,124834,14,16
CUST1876,31,40537,72,19
CUST1877,19,92576,62,19
CUST1878,28,122522,35,18
CUST1879,68,37612,19,16
CUST1880,56,21471,30,8
CUST1881,55,46348,78,1
CUST1882,51,16177,84,17
CUST1883,55,47779,25,12
CUST1884,67,36636,40,11
CUST1885,51,96889,88,5
CUST1886,35,68551,14,12
CUST1887,47,61819,26,17
CUST1888,32,88770,87,6
CUST1889,44,93714,22,1
CUST1890,68,39596,48,5
CUST1891,51,79106,83,14
CUST1892,69,74182,51,5
CUST1893,55,102163,3,1
CUST1894,50,54310,42,18
CUST1895,41,71088,19,16
CUST1896,32,143803,73,9
CUST1897,47,51914,28,19
CUST1898,59,125350,84,5
CUST1899,68,60379,45,2
CUST1900,34,61413,71,15
CUST1901,22,22151,78,7
CUST1902,46,72716,63,4
CUST1903,21,108747,73,1
CUST1904,27,136999,19,13
CUST1905,34,129793,47,7
CUST1906,27,123177,14,15
CUST1907,34,27289,38,14
CUST1908,37,101365,53,19
CUST1909,41,129014,61,18
CUST1910,22,87588,36,10
CUST1911,51,78646,40,9
CUST1912,23,18654,81,8
CUST1913,19,33743,30,10
CUST1914,30,63368,9,17
CUST1915,60,134735,64,2
CUST1916,60,134891,33,6
CUST1917,65,122971,52,5
CUST1918,28,27149,89,9
CUST1919,68,115102,14,5
CUST1920,64,74189,75,18
CUST1921,40,86031,53,9
CUST1922,33,57668,99,17
CUST1923,48,103204,59,17
CUST1924,28,52384,78,12
CUST1925,33,96929,94,7
CUST1926,25,142959,41,3
CUST1927,21,91153,68,10
CUST1928,57,90388,68,2
CUST1929,21,46401,92,3
